id,pval_(Intercept),adj.pvalue,pval_sig,LogFC_(Intercept),LogFC (Higher is Higher in Spring)
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;__,0.931146506,0,1,-0.010737259,6.545066255
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__ADurb.Bin120,0.931146506,0.992927966,0,-0.010737259,-0.005582944
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea,0.931146506,1.50E-154,1,-0.010737259,5.470851185
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea,0.931146506,0,1,-0.010737259,5.805347603
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Levilinea,0.931146506,5.43E-32,1,-0.010737259,3.599226388
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Longilinea,0.931146506,2.88E-10,1,-0.010737259,1.980730841
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Ornatilinea,0.931146506,1.09E-07,1,-0.010737259,2.652365181
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Pelolinea,0.931146506,5.28E-41,1,-0.010737259,3.557924114
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__RBG-16-58-14,0.931146506,0,1,-0.010737259,6.376949841
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__uncultured,3.73E-295,0.092668591,0,7.195903978,0.339175846
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UTCFX1,0.931146506,2.46E-104,1,-0.010737259,3.372283314
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Ardenticatenales;f__uncultured;g__uncultured,0.008553642,0.841519326,0,2.793206966,0.213002653
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured,1.29E-27,1.55E-16,1,4.867784194,-5.115153458
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__KZNMV-5-B42;f__KZNMV-5-B42;g__KZNMV-5-B42,0.188122007,0.006180401,1,0.721670933,-1.505519501
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__MSB-5B2;f__MSB-5B2;g__MSB-5B2,0.202067002,0.054399304,0,1.540582857,-2.324431425
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__RBG-13-54-9;f__RBG-13-54-9;g__RBG-13-54-9,0.931146506,1.68E-240,1,-0.010737259,6.678051656
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;__;__,0.931146506,2.49E-87,1,-0.010737259,4.743220992
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b,0.931146506,2.12E-12,1,-0.010737259,2.389546061
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031,1.56E-27,0.018453116,1,5.61589055,-1.436628766
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SJA-15;f__SJA-15;g__SJA-15,0.199320802,0.725878299,0,1.218889225,-0.406907212
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus,0.196232185,0.029010349,1,1.133925142,-1.91777371
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__uncultured;f__uncultured;g__uncultured,0,1.35E-31,1,5.838876332,-4.307066236
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722;g__AKYG1722,0.196664587,0.025020689,1,1.062221349,-1.846069917
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__JG30-KF-CM45,0.931146506,0.424391919,0,-0.010737259,-0.311013188
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;__;__;__,0.03353677,0.004941129,1,2.124889403,2.823850312
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__661239;f__661239;g__661239,0.186574024,5.12E-04,1,0.756791105,2.067124362
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;__;__,0.931146506,0.935169271,0,-0.010737259,0.055190908
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalogenimonas,0.931146506,5.28E-10,1,-0.010737259,1.932261502
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__Dehalococcoidales_Incertae_Sedis;g__Dehalobium,0.192330018,0.017662809,1,0.952719993,-1.736568561
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidales;f__uncultured;g__uncultured,0.017455258,2.96E-07,1,1.466201674,3.230989483
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Dehalococcoidia;f__Dehalococcoidia;g__Dehalococcoidia,0.368167611,1.49E-07,1,0.451360861,2.77117073
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__ER-E4-17;f__ER-E4-17;g__ER-E4-17,0.931146506,3.41E-54,1,-0.010737259,3.221531557
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__FS117-23B-02;f__FS117-23B-02;g__FS117-23B-02,8.18E-15,0.820956397,0,3.157926279,-0.115663506
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__FW22;f__FW22;g__FW22,0.01726454,0.081459778,0,2.052701209,1.515610207
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF3;f__GIF3;g__GIF3,0.201164936,8.39E-04,1,1.46220961,3.829086621
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__AB-539-J10;g__SCGC-AB-539-J10,0.01080281,3.09E-04,1,1.876916234,-2.660764802
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__GIF9;f__GIF9;g__GIF9,0.191325241,2.44E-06,1,0.913458981,3.394048264
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__JdFR-54;f__JdFR-54;g__JdFR-54,0.931146506,0.816118163,0,-0.010737259,-0.124474592
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__MSBL5;f__MSBL5;g__MSBL5,0.198896479,2.51E-05,1,1.293270409,4.510785637
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Napoli-4B-65;f__Napoli-4B-65;g__Napoli-4B-65,0.012120086,0.845116607,0,1.375557102,-0.184653737
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__RBG-13-46-9;f__RBG-13-46-9;g__RBG-13-46-9,0.931146506,3.94E-244,1,-0.010737259,4.429577428
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__S085;f__S085;g__S085,0.017800905,0.039593193,1,2.165248713,-2.2559501
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SAR202_clade;f__SAR202_clade;g__SAR202_clade,0.329274207,0.001212111,1,0.637899457,2.138209419
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Sh765B-AG-111;f__Sh765B-AG-111;g__Sh765B-AG-111,0.006551385,0.086525049,0,1.72757466,-1.631737451
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__Sh765B-TzT-20;f__Sh765B-TzT-20;g__Sh765B-TzT-20,0.931146506,1.15E-19,1,-0.010737259,2.023341965
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SPG12-343-353-B75;f__SPG12-343-353-B75;g__SPG12-343-353-B75,0.931146506,0.794907969,0,-0.010737259,0.208368351
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__SPG12-461-471-B8;f__SPG12-461-471-B8;g__SPG12-461-471-B8,0.187645031,0.008763878,1,0.788561165,-1.572409733
d__Bacteria;p__Chloroflexi;c__Dehalococcoidia;o__vadinBA26;f__vadinBA26;g__vadinBA26,0.931146506,4.96E-30,1,-0.010737259,3.348383911
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66;g__JG30-KF-CM66,2.31E-05,0.042581776,1,2.599934134,-1.823072293
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96;g__KD4-96,6.59E-96,0.001931924,1,5.932260605,-0.959577801
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119;g__C0119,0.931146506,0.303160985,0,-0.010737259,0.703827625
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__JG30-KF-AS9;g__JG30-KF-AS9,0.931146506,0.198862727,0,-0.010737259,0.787599101
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;__,0.931146506,0.745496692,0,-0.010737259,-0.175858152
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__1959-1,0.931146506,1.92E-09,1,-0.010737259,2.799426245
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__FCPS473,0.931146506,0.005303663,1,-0.010737259,1.134750392
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__HSB_OF53-F07,0.931146506,0.345474323,0,-0.010737259,0.524162124
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Ktedonobacter,0.931146506,3.56E-08,1,-0.010737259,2.442139544
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__Thermosporothrix,0.931146506,0.309415192,0,-0.010737259,0.517289029
d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__uncultured,0.931146506,9.55E-14,1,-0.010737259,3.649174841
d__Bacteria;p__Chloroflexi;c__OLB14;o__OLB14;f__OLB14;g__OLB14,0.931146506,0.194645517,0,-0.010737259,1.093029345
d__Bacteria;p__Chloroflexi;c__SHA-26;o__SHA-26;f__SHA-26;g__SHA-26,0.931146506,3.37E-06,1,-0.010737259,1.837560085
d__Bacteria;p__CK-2C2-2;c__CK-2C2-2;o__CK-2C2-2;f__CK-2C2-2;g__CK-2C2-2,0.022898909,0.00174015,1,2.075151937,-2.859000504
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;__;__,0.931146506,0.187040602,0,-0.010737259,0.970591564
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__Cloacimonadales;g__Cloacimonadales,0.931146506,0.992927966,0,-0.010737259,-0.005582944
d__Bacteria;p__Cloacimonadota;c__Cloacimonadia;o__Cloacimonadales;f__PBS-18;g__PBS-18,0.931146506,0.002205209,1,-0.010737259,2.096995081
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__Chloroplast;g__Chloroplast,0.007906012,0.817126164,0,3.59540186,0.322181496
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;__,0.186798358,0.004690427,1,0.682409921,-1.466258489
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Annamia_HOs24,0.193497735,0.015865568,1,0.913458981,-1.697307549
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;__,0.931146506,0.320109469,0,-0.010737259,0.568672589
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Nostoc_PCC-7107,0.931146506,0.380701571,0,-0.010737259,0.412004712
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Xenococcaceae;g__Xenococcus_CRM,0.195513314,0.021350847,1,1.004103553,-1.787952121
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;__,0.18073459,9.13E-04,1,0.525742045,-1.309590612
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_MBIC10613,1.18E-138,9.83E-180,1,4.671762103,-5.45561067
d__Bacteria;p__Cyanobacteria;c__Sericytochromatia;o__Sericytochromatia;f__Sericytochromatia;g__Sericytochromatia,0.931146506,3.80E-05,1,-0.010737259,2.67798485
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Caenarcaniphilales;f__Caenarcaniphilales;g__Caenarcaniphilales,0.931146506,0.631681984,0,-0.010737259,-0.236632004
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__Gastranaerophilales;g__Gastranaerophilales,9.22E-08,0.029550433,1,3.099524916,-2.091614014
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Obscuribacteraceae,0.931146506,9.55E-07,1,-0.010737259,1.350759307
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Vampirovibrionales;f__Vampirovibrionaceae;g__Vampirovibrionaceae,0.931146506,0.722225197,0,-0.010737259,-0.175858152
d__Bacteria;p__Dadabacteria;c__Dadabacteriia;o__Dadabacteriales;f__Dadabacteriales;g__Dadabacteriales,0.931146506,0.992709905,0,-0.010737259,-0.005582944
d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum,0.931146506,2.15E-42,1,-0.010737259,1.97665994
d__Bacteria;p__Deferrisomatota;c__Defferrisomatia;o__Defferrisomatales;f__Defferrisomataceae;g__Deferrisoma,0.931146506,1.76E-10,1,-0.010737259,1.631968685
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;__;__,0.033253266,0.083930102,0,1.122995201,1.012941147
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;__,0.16884289,1.33E-05,1,0.355466837,-1.139315405
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliaceae;g__Babeliaceae,0.005696684,0.024835098,1,2.351508719,-2.136779862
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Babeliales;g__Babeliales,0.197726567,1.10E-05,1,1.218889225,4.185846741
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12409;g__UBA12409,0.931146506,0.424391919,0,-0.010737259,-0.311013188
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__UBA12411;g__UBA12411,0.931146506,0.722831083,0,-0.010737259,0.151084932
d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilaceae,0.029802188,0.050081728,0,2.055422313,1.869415922
d__Bacteria;p__Desantisbacteria;c__Desantisbacteria;o__Desantisbacteria;f__Desantisbacteria;g__Desantisbacteria,0.931146506,0.420277133,0,-0.010737259,0.412004712
d__Bacteria;p__Desulfobacterota;__;__;__;__,0.183219474,0.489039713,0,0.586515897,-0.542062248
d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo,0.186574024,0.007320095,1,0.756791105,-1.540639673
d__Bacteria;p__Desulfobacterota;c__Desulfobaccia;o__Desulfobaccales;f__Desulfobaccaceae;g__Desulfobacca,0,5.59E-19,1,4.918510395,-1.256441584
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans,0,0.780288308,0,5.797190435,0.03999966
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;__;__,0.114306526,0.038404231,1,2.515481691,-3.299330259
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;__,9.02E-05,0.004457229,1,4.737146068,-3.933603324
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Desulfatitalea,0.258954111,0.11190385,0,1.918228534,-2.702077102
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Incertae_Sedis,0.931146506,0.967178465,0,-0.010737259,0.026187116
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__SEEP-SRB1,0.020437241,0.004215212,1,3.337070538,-4.120919106
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__Sva0081_sediment_group,0.009510992,0.069223436,0,4.636869872,-3.547251484
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosarcinaceae;g__uncultured,0.931146506,3.46E-45,1,-0.010737259,3.123164176
d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__uncultured;g__uncultured,0.931146506,5.00E-224,1,-0.010737259,4.244848356
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;__,0.20101587,0.889073815,0,1.449938285,-0.159594764
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__uncultured,0.00751922,0.001059925,1,3.475627847,-4.259476415
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;__,0.023991575,0.019510369,1,3.890717298,-4.138086561
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__uncultured,0.205310632,0.073580888,0,1.897124441,-2.680973009
d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__Desulfurivibrio,0.931146506,0.816118163,0,-0.010737259,-0.124474592
d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__Desulfomonilales;f__Desulfomonilaceae;g__Desulfomonile,0,1.05E-26,1,4.973293667,-1.172419925
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila,0.931146506,2.00E-17,1,-0.010737259,2.434813242
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio,0.931146506,0.001011844,1,-0.010737259,2.393062798
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__uncultured,0.931146506,3.10E-30,1,-0.010737259,1.555127465
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;__;__;__,0.931146506,0.246990666,0,-0.010737259,0.857005068
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Bradymonadales;f__Bradymonadales;g__Bradymonadales,0.931146506,0.830847132,0,-0.010737259,-0.124474592
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Desulfuromonadia;f__Geothermobacteraceae;g__Geothermobacter,0.20119489,0.043741497,1,1.354044261,-2.137892829
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;__,0.931146506,1.23E-283,1,-0.010737259,6.336253016
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Citrifermentans,0.931146506,1.06E-197,1,-0.010737259,4.066097161
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter,0.931146506,1.45E-58,1,-0.010737259,4.117980979
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacteraceae,0.931146506,0.10215088,0,-0.010737259,1.675773746
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__uncultured,0.931146506,9.98E-63,1,-0.010737259,3.126767815
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__PB19;f__PB19;g__PB19,0.931146506,0.89708968,0,-0.010737259,-0.079964128
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Sva1033;f__Sva1033;g__Sva1033,0.195809771,0.027582813,1,1.111694684,-1.895543252
d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__Dissulfuribacteraceae;__,0.176777319,8.20E-04,1,0.525742045,-1.309590612
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;__;__,0.931146506,0,1,-0.010737259,7.185543184
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella,0.931146506,0,1,-0.010737259,5.678753549
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus,0.931146506,0,1,-0.010737259,5.803277598
d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__uncultured;g__uncultured,0.931146506,0,1,-0.010737259,5.381688467
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__Syntrophobacter,0.931146506,0,1,-0.010737259,5.135821923
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__uncultured,0.931146506,0.207439541,0,-0.010737259,0.838982661
d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__uncultured;g__uncultured,0,1.36E-163,1,7.087985379,-2.591208075
d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Syntrophorhabdus,0.931146506,0,1,-0.010737259,6.677762429
d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured;g__uncultured,0.197288598,2.31E-12,1,1.192902045,6.49572181
d__Bacteria;p__DTB120;c__DTB120;o__DTB120;f__DTB120;g__DTB120,0.931146506,1.81E-11,1,-0.010737259,3.27224845
d__Bacteria;p__Edwardsbacteria;c__Edwardsbacteria;o__Edwardsbacteria;f__Edwardsbacteria;g__Edwardsbacteria,0.931146506,0.50120448,0,-0.010737259,0.286239968
d__Bacteria;p__Elusimicrobiota;__;__;__;__,0.931146506,0.401628992,0,-0.010737259,-0.311013188
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Lineage_IV;f__Lineage_IV;g__Lineage_IV,0.931146506,1.43E-35,1,-0.010737259,2.843981009
d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__MVP-88;f__MVP-88;g__MVP-88,0.931146506,1.50E-12,1,-0.010737259,1.913840609
d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__Endomicrobiaceae;g__Endomicrobium,0.931146506,2.08E-169,1,-0.010737259,3.495806558
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIa;o__Lineage_IIa;f__Lineage_IIa;g__Lineage_IIa,0.931146506,6.93E-13,1,-0.010737259,3.067781277
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIb;o__Lineage_IIb;f__Lineage_IIb;g__Lineage_IIb,0.931146506,3.12E-62,1,-0.010737259,3.158571061
d__Bacteria;p__Elusimicrobiota;c__Lineage_IIc;o__Lineage_IIc;f__Lineage_IIc;g__Lineage_IIc,0.931146506,1.45E-38,1,-0.010737259,3.542510852
d__Bacteria;p__Elusimicrobiota;c__Rs-M47;o__Rs-M47;f__Rs-M47;g__Rs-M47,0.931146506,3.99E-10,1,-0.010737259,1.667284877
d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae;g__Candidatus_Entotheonella,0.185317951,0.666435776,0,0.721670933,0.260586288
d__Bacteria;p__FCPU426;c__FCPU426;o__FCPU426;f__FCPU426;g__FCPU426,0.931146506,2.95E-133,1,-0.010737259,4.464741929
d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Fermentibacteraceae,0.187645031,0.008763878,1,0.788561165,-1.572409733
d__Bacteria;p__Fibrobacterota;c__Chitinivibrionia;o__uncultured;f__uncultured;g__uncultured,0.931146506,1.98E-73,1,-0.010737259,4.155288015
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;__;__,0.931146506,0.114191357,0,-0.010737259,1.272076989
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__B122;g__B122,0.931146506,9.90E-233,1,-0.010737259,4.877889617
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__B5-096;g__B5-096,0.931146506,0.004197517,1,-0.010737259,1.402874664
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Candidatus_Raymondbacteria;g__Candidatus_Raymondbacteria,0.931146506,5.05E-19,1,-0.010737259,2.78475395
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacteraceae;g__uncultured,0.931146506,0.405818517,0,-0.010737259,0.421395005
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__Fibrobacterales;g__BBMC-4,0.16884289,8.68E-14,1,0.355466837,2.415760437
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__MAT-CR-H6-H10;g__MAT-CR-H6-H10,0.931146506,0.358106071,0,-0.010737259,0.591670212
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__TG3;g__TG3,0.931146506,5.58E-18,1,-0.010737259,1.767123721
d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__Fibrobacterales;f__uncultured;g__uncultured,0.931146506,0.762854294,0,-0.010737259,0.27205343
d__Bacteria;p__Firestonebacteria;c__Firestonebacteria;o__Firestonebacteria;f__Firestonebacteria;g__Firestonebacteria,0.931146506,1.17E-72,1,-0.010737259,3.771959409
d__Bacteria;p__Firmicutes;__;__;__;__,0.177659718,0.130704462,0,0.451360861,0.928870516
d__Bacteria;p__Firmicutes;c__Bacilli;__;__;__,3.81E-08,4.05E-16,1,1.585093322,-2.368941889
d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Alicyclobacillus,0.931146506,6.51E-06,1,-0.010737259,2.261881977
d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus,0.195581833,0.02683362,1,1.099997577,-1.883846145
d__Bacteria;p__Firmicutes;c__Bacilli;o__Aneurinibacillales;f__Aneurinibacillaceae;g__Aneurinibacillus,0.019660812,0.003794394,1,3.246295529,-4.030144096
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;__;__,0,1.41E-20,1,7.295497712,-1.978677843
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;__,0.010670583,5.63E-04,1,2.225290769,-3.009139336
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,1.97E-182,2.99E-06,1,7.800554476,-1.285602698
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Fictibacillus,0.931146506,0.824347504,0,-0.010737259,0.17129314
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Oceanobacillus,0.931146506,1.51E-12,1,-0.010737259,2.662371869
